	英雄类型	角色等级	升到下一等级所需经验点	当前等级属性总系数	
#	2	77	3900	379.5	
#	2	78	3950	383	
#	2	79	4000	386.5	
#	2	80	4050	390	
#	2	81	4100	394	
#	2	82	4150	398	
#	2	83	4200	402	
#	2	84	4250	406	
#	2	85	4300	410	
#	2	86	4350	414	
#	2	87	4400	418	
#	2	88	4450	422	
#	2	89	4500	426	
#	2	90	4550	430	
#	2	91	4600	434	
#	2	92	4650	438	
#	2	93	4700	442	
#	2	94	4750	446	
#	2	95	4800	450	
#	2	96	4850	454	
#	2	97	4900	458	
#	2	98	4950	462	
#	2	99	5000	466	
#	2	100	0	470	
#	3	1	100	471	
#	3	2	150	472	
#	3	3	200	473	
#	3	4	250	474	
#	3	5	300	475	
#	3	6	350	476	
#	3	7	400	477	
#	3	8	450	478	
#	3	9	500	479	
#	3	10	550	480	
#	3	11	600	481	
#	3	12	650	482	
#	3	13	700	483	
#	3	14	750	484	
#	3	15	800	485	
#	3	16	850	486	
#	3	17	900	487	
#	3	18	950	488	
#	3	19	1000	489	
#	3	20	1050	490	
#	3	21	1100	491	
#	3	22	1150	492	
#	3	23	1200	493	
#	3	24	1250	494	
#	3	25	1300	495	
#	3	26	1350	496	
#	3	27	1400	497	
#	3	28	1450	498	
#	3	29	1500	499	
#	3	30	1550	500	
#	3	31	1600	501.5	
#	3	32	1650	503	
#	3	33	1700	504.5	
#	3	34	1750	506	
#	3	35	1800	507.5	
#	3	36	1850	509	
#	3	37	1900	510.5	
#	3	38	1950	512	
#	3	39	2000	513.5	
#	3	40	2050	515	
#	3	41	2100	517	
#	3	42	2150	519	
#	3	43	2200	521	
#	3	44	2250	523	
#	3	45	2300	525	
#	3	46	2350	527	
#	3	47	2400	529	
#	3	48	2450	531	
#	3	49	2500	533	
#	3	50	2550	535	
#	3	51	2600	537.5	
#	3	52	2650	540	
#	3	53	2700	542.5	
#	3	54	2750	545	
#	3	55	2800	547.5	
#	3	56	2850	550	
#	3	57	2900	552.5	
#	3	58	2950	555	
#	3	59	3000	557.5	
#	3	60	3050	560	
#	3	61	3100	563	
#	3	62	3150	566	
#	3	63	3200	569	
#	3	64	3250	572	
#	3	65	3300	575	
#	3	66	3350	578	
#	3	67	3400	581	
#	3	68	3450	584	
#	3	69	3500	587	
#	3	70	3550	590	
#	3	71	3600	593.5	
#	3	72	3650	597	
#	3	73	3700	600.5	
#	3	74	3750	604	
#	3	75	3800	607.5	
#	3	76	3850	611	
#	3	77	3900	614.5	
#	3	78	3950	618	
#	3	79	4000	621.5	
#	3	80	4050	625	
#	3	81	4100	629	
#	3	82	4150	633	
#	3	83	4200	637	
#	3	84	4250	641	
#	3	85	4300	645	
#	3	86	4350	649	
#	3	87	4400	653	
#	3	88	4450	657	
#	3	89	4500	661	
#	3	90	4550	665	
#	3	91	4600	669	
#	3	92	4650	673	
#	3	93	4700	677	
#	3	94	4750	681	
#	3	95	4800	685	
#	3	96	4850	689	
#	3	97	4900	693	
#	3	98	4950	697	
#	3	99	5000	701	
#	3	100	0	705	
