																				1角色类型 2角色射程 3角色性别 4角色ID 5角色血量百分比 6血量最多/最少 7敌方全体 8敌方随机一人 9被碰撞单体 10阵营	多个用下划线隔开1.1力量2敏捷3智力 2.0近1远 3.0无1男2女 4.ID 5.浮点数配-1至1；负数为小于等于，正数为大于等于 6.0少1多；10.0中立1正派2反派	1角色类型 2角色射程 3角色性别 4角色ID 5角色血量百分比 6血量最多/最少 7我方全体 8我方随机一人 9施法者 10阵营	多个用下划线隔开1.1力量2敏捷3智力 2.0近1远 3.0无1男2女 4.ID 5.浮点数配-1至1；负数为小于等于，正数为大于等于 6.0少1多 10.0中立1正派2反派	1.物理 2.魔法 3.治疗											1角色类型 2角色射程 3角色性别 4角色ID 5角色血量百分比 6血量最多/最少 7敌方全体 8敌方随机一人 9被碰撞单体	多个用下划线隔开1.1力量2敏捷3智力 2.0近1远 3.0女1男 4.ID 5.浮点数配-1至1；负数为小于等于，正数为大于等于 6.0少1多；	(1_1001:10000|2_1002:10000|3_1003:10000)		(1_1|2_2|3_1)	(1_1|2_2|3_1)				单位米			单位秒			
#	1010202	塔罗斯猛突	召唤出塔罗斯对目标造成{0}%攻击伤害	Role_Lucy/Skill_B	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	501_1_10	1	0	1	0	0	0	0	0
#	1010203	绳缚术	对目标造成{0}%攻击伤害，并沉默目标5秒	Role_Lucy/Skill_C	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	102001:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010204	金牛猛劈	强大的塔罗斯对目标造成{0}%攻击伤害，并使目标昏迷3秒	Role_Lucy/Skill_D	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	501_1_10	1	0	1	0	0	0	0	0
#	1010291	塔罗斯猛突【召唤】	无	Role_Taros/Skill_B	JiNengTuBiao	R01_A	0	0	0	1	1	0	0	0	10	10	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010292	金牛猛劈【召唤】	无	Role_Taros/Skill_D	JiNengTuBiao	R01_A	0	0	0	1	1	0	0	0	10	10	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	102002:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010206	普攻	无	Role_Lucy/Attack_A	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	10	1010206_1010207_1010208_1010209	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010207	普攻	无	Role_Lucy/Attack_B	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	10	1010206_1010207_1010208_1010209	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010208	普攻	无	Role_Lucy/Attack_C	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	10	1010206_1010207_1010208_1010209	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010209	普攻	无	Role_Lucy/Attack_D	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	10	1010206_1010207_1010208_1010209	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010301	火龙的咆哮	对前方目标造成{0}%攻击伤害	Role_Natsu/Skill_A	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	10	10	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010302	火龙的铁拳	对目标造成{0}%攻击伤害，且有{1}%的概率使目标昏迷3秒	Role_Natsu/Skill_B	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	4	4	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	103001:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010303	火龙的盛宴	持续恢复自身{0}%攻击等量生命，且降低{1}%自身受到的伤害，持续5秒	Role_Natsu/Skill_C	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	20	25	0	0	2	0	0	9	0	3	2.00155	0	0	0	0	0	0	0	103002:10000|103003:10000	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010304	火龙的翼击	对目标造成{0}%攻击伤害，且降低目标{1}%移动速度，持续8秒	Role_Natsu/Skill_D	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	103004:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010306	普攻	无	Role_Natsu/Attack_A	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010306_1010307_1010308_1010309	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010307	普攻	无	Role_Natsu/Attack_B	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010306_1010307_1010308_1010309	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010308	普攻	无	Role_Natsu/Attack_C	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010306_1010307_1010308_1010309	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010309	普攻	无	Role_Natsu/Attack_D	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010306_1010307_1010308_1010309	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010401	魔法剑	对前方范围造成{0}%攻击伤害，并为自身添加吸收伤害护盾，护盾可吸收{1}%攻击伤害，持续10秒	Role_Erza/Skill_A	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	4	4	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	104001:10000	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010402	魔法枪	对目标造成{0}%攻击伤害	Role_Erza/Skill_B	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	4	6	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010403	迅捷之剑	对前方范围造成{0}%攻击伤害	Role_Erza/Skill_C	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	4	4	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010404	破空斩	向前方冲刺，对前方范围造成{0}%攻击伤害，且最后一击可击昏目标，持续3秒	Role_Erza/Skill_D	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	6	6	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	6:104002:10000	1_5	1_0	1_0	0	0	0	0	0	0	0	0	0	0
#	1010406	普攻	无	Role_Erza/Attack_A	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010406_1010407_1010408	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010407	普攻	无	Role_Erza/Attack_B	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010406_1010407_1010408	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010408	普攻	无	Role_Erza/Attack_C	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.75	4	1010406_1010407_1010408	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010501	风暴击碎	对前方大范围的敌人造成{0}%攻击伤害	Role_Ailey/Skill_A	JiNengTuBiao	R01_A	0	0	5	1	1	0	0	0	8	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010502	暴风波	对目标以及周围造成{0}%攻击伤害，并降低敌人{1}%移动速度，持续{2}秒	Role_Ailey/Skill_B	JiNengTuBiao	R01_A	0	0	8	1	1	0	0	0	6	6	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	105001:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010503	暴风衣	对前方范围造成{0}%攻击伤害，并提升自身{1}%的伤害减免，持续{2}秒	Role_Ailey/Skill_C	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	8	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	105002:10000	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010504	翠绿迅	对前方大范围造成{0}%攻击伤害	Role_Ailey/Skill_D	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	8	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010506	普攻	无	Role_Ailey/Attack_A	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010506_1010507_1010508	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010507	普攻	无	Role_Ailey/Attack_B	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010506_1010507_1010508	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010508	普攻	无	Role_Ailey/Attack_C	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010506_1010507_1010508	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010601	岩之协奏曲	对目标以及周围造成{0}%攻击伤害，并使目标昏迷{1}秒	Role_Sor/Skill_A	JiChuTuBiao	ZDJM_putonggongji	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	106001:10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010602	石膏奏鸣曲	对前方直线范围造成{0}%攻击伤害	Role_Sor/Skill_B	JiChuTuBiao	ZDJM_putonggongji	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010603	沙之舞	对面前范围造成{0}%攻击伤害，并使目标被束缚，持续{1}秒	Role_Sor/Skill_C	JiChuTuBiao	ZDJM_putonggongji	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	106002:10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010604	慈悲·爱	对目标以及周围造成%攻击伤害	Role_Sor/Skill_C	JiChuTuBiao	ZDJM_putonggongji	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010606	普攻	无	Role_Sor/Attack_A	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010606_1010607_1010608	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010607	普攻	无	Role_Sor/Attack_B	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010606_1010607_1010608	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010608	普攻	无	Role_Sor/Attack_C	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010606_1010607_1010608	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010701	铁龙棍	对前方直线范围的敌人造成{0}%攻击伤害，并使目标昏迷{1}秒；同时，附加1层“铁龙之咒”效果，每层减少敌人防御{2}点，持续{3}秒，最多可叠加10层	Role_Gageel/Skill_A	JiNengTuBiao	R01_A	0	0	5	1	1	0	0	0	8	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	107001:10000|107002:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010702	业魔?铁神剑	对前方范围造成{0}%攻击伤害，并附加1层“铁龙之咒”效果，持续{1}秒，每层减少敌人防御{1}点，持续{2}秒，最多可叠加10层；同时提升自身{3}%防御，{4}%攻击，持续{5}秒	Role_Gageel/Skill_B	JiNengTuBiao	R01_A	0	0	8	1	1	0	0	0	6	6	0	0	1	7	0	0	0	1	2.00155	0	0	0	107003:10000	11	0	0	107001:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010703	铁龙的咆哮	对前方范围造成{0}%攻击伤害,并有%的概率附加1层“铁龙之咒”效果，每层减少敌人防御{2}点，持续{3}秒，最多可叠加10层	Role_Gageel/Skill_C	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	8	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	107001:1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010704	铁龙枪?鬼薪	对前方大范围造成{0}%攻击伤害，并引爆目标身上的铁龙之咒，每层造成{1}%攻击伤害	Role_Gageel/Skill_D	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	8	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	107004:10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010706	普攻	无	Role_Gageel/Attack_A	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010706_1010707_1010708	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010707	普攻	无	Role_Gageel/Attack_B	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010706_1010707_1010708	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010708	普攻	无	Role_Gageel/Attack_C	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	2.5	3.75	1010706_1010707_1010708	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010801	臭气	对前方直线范围造成{0}%攻击伤害	Role_Shirley/Skill_A	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	502_1_10	1	0	0	0	0	0	0	0
#	1010802	岩人偶	对面前大范围造成{0}%攻击伤害，并降低受击目标{1}%的防御，持续10秒	Role_Shirley/Skill_C	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	503_1_10	1	0	0	0	0	0	0	0
#	1010803	提线人偶	使周围目标单位沉默，持续5秒；并降低目标{0}%攻击，持续10秒	Role_Shirley/Skill_D	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	3	5	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	108002:10000|108003:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010804	毒毒果冻	对全屏的目标造成%攻击伤害，降低目标%的防御，并使目标中毒，每3秒造成%攻击伤害，持续9秒	Role_Shirley/Skill_B	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	8	10	0	0	1	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	502_1_10	1	0	0	0	0	0	0	0
#	1010891	臭气【召唤】	无	Role_Angelica/Skill_A	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	6	10	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
#	1010892	岩人偶【召唤】	无	Role_ShirleyHand/Skill_B	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	6	10	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	108001:10000	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
#	1010893	毒毒果冻【召唤】	无	Role_Angelica/Skill_D	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	6	10	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	108004:10000|108005:10000	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
#	1010806	普攻	无	Role_Shirley/Attack_A	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	8	1010806_1010807_1010808	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010807	普攻	无	Role_Shirley/Attack_B	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	8	1010806_1010807_1010808	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010808	普攻	无	Role_Shirley/Attack_C	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	8	1010806_1010807_1010808	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010901	水流拘束	对前直线方向发出一个透明水泡，触碰到水泡的敌人被禁锢，且每2秒造成{0}%攻击的伤害，持续6秒	Role_Juvia/Skill_A	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010902	嫉妒之心	对前方直线范围造成{0}%攻击伤害	Role_Juvia/Skill_C	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010903	水流斩破	对前方大范围的敌人造成{0}%攻击伤害，并降低目标{1}%移动速度，持续5秒	Role_Juvia/Skill_D	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	109002:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010904	水流昇霞	对目标以及周围大范围单位造成{0}%攻击伤害	Role_Juvia/Skill_B	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010906	普攻	无	Role_Juvia/Attack_A	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	8	1010906_1010907_1010908	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010907	普攻	无	Role_Juvia/Attack_B	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	8	1010906_1010907_1010908	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1010908	普攻	无	Role_Juvia/Attack_C	JiChuTuBiao	ZDJM_putonggongji	0	0	0.1	1	1	0	0	0	6	8	1010906_1010907_1010908	0	1	7	0	0	0	1	0.8547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1011001	蓝焰	对前方范围造成{0}%攻击伤害，并降低目标{1}%的移动速度，持续{2}秒	Role_Tutu/Skill_A	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	110001:10000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1011002	橙焰	对目标造成{0}%攻击伤害，并使目标持续燃烧，每3秒造成%攻击伤害，持续9秒	Role_Tutu/Skill_B	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	6	8	0	0	1	7	0	0	0	1	2.00155	0	0	0	0	0	0	0	110002:10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1011003	飞空斩	对前方范围造成{0}%攻击伤害，并给自身添加护盾，护盾可吸收{1}%攻击等量伤害，最多可持续10秒	Role_Tutu/Skill_C	JiNengTuBiao	R01_A	0	0	3	1	1	0	0	0	3	4	0	0	1	7	0	0	0	1	2.00155	0	0	0	110003:10000	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#	1011004	七彩焰	对自身周围范围每0.5秒造成{0}%攻击伤害	Role_Tutu/Skill_D	JiNengTuBiao	R01_B	0	0	3	1	1	0	0	0	6	6	0	0	1	7	0	0	0	1	2.00155	0	0	0	110004:10000	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
