玩家最大等级表示领取该奖励的区间，为(上行等级,本行等级]					
	ID	玩家最大等级	奖励1	奖励2	奖励3
#	1002	60	3_FZHB002_35000	3_TFHB001_23	0
#	1002	65	3_FZHB002_37000	3_TFHB001_23	0
#	1002	70	3_FZHB002_39000	3_TFHB001_23	0
#	1002	75	3_FZHB002_41000	3_TFHB001_23	0
#	1002	80	3_FZHB002_43000	3_TFHB001_23	0
#	1002	85	3_FZHB002_46000	3_TFHB001_23	0
#	1002	90	3_FZHB002_49000	3_TFHB001_23	0
#	1002	95	3_FZHB002_53000	3_TFHB001_23	0
#	1002	100	3_FZHB002_57000	3_TFHB001_23	0
#	1002	105	3_FZHB002_62000	3_TFHB001_23	0
#	1002	110	3_FZHB002_66000	3_TFHB001_23	0
#	1002	115	3_FZHB002_71000	3_TFHB001_23	0
#	1002	120	3_FZHB002_76000	3_TFHB001_23	0
#	1002	125	3_FZHB002_81000	3_TFHB001_23	0
#	1002	130	3_FZHB002_87000	3_TFHB001_23	0
#	1002	135	3_FZHB002_92000	3_TFHB001_23	0
#	1002	140	3_FZHB002_97000	3_TFHB001_23	0
#	1002	145	3_FZHB002_102000	3_TFHB001_23	0
#	1002	150	3_FZHB002_107000	3_TFHB001_23	0
#	1002	155	3_FZHB002_112000	3_TFHB001_23	0
#	1002	160	3_FZHB002_117000	3_TFHB001_23	0
#	1002	165	3_FZHB002_122000	3_TFHB001_23	0
#	1002	170	3_FZHB002_127000	3_TFHB001_23	0
#	1002	175	3_FZHB002_132000	3_TFHB001_23	0
#	1002	180	3_FZHB002_137000	3_TFHB001_23	0
#	1002	185	3_FZHB002_142000	3_TFHB001_23	0
#	1002	190	3_FZHB002_147000	3_TFHB001_23	0
#	1002	195	3_FZHB002_152000	3_TFHB001_23	0
#	1002	200	3_FZHB002_157000	3_TFHB001_23	0
#	1002	205	3_FZHB002_162000	3_TFHB001_23	0
#	1002	210	3_FZHB002_167000	3_TFHB001_23	0
#	1002	215	3_FZHB002_172000	3_TFHB001_23	0
#	1002	220	3_FZHB002_177000	3_TFHB001_23	0
#	1002	225	3_FZHB002_182000	3_TFHB001_23	0
#	1002	230	3_FZHB002_187000	3_TFHB001_23	0
#	1002	235	3_FZHB002_192000	3_TFHB001_23	0
#	1002	240	3_FZHB002_198000	3_TFHB001_23	0
#	1002	245	3_FZHB002_203000	3_TFHB001_23	0
#	1002	9999	3_FZHB002_208000	3_TFHB001_23	0
#	1003	40	3_FZHB002_28000	3_TFHB001_23	0
#	1003	45	3_FZHB002_30000	3_TFHB001_23	0
#	1003	50	3_FZHB002_32000	3_TFHB001_23	0
#	1003	55	3_FZHB002_34000	3_TFHB001_23	0
#	1003	60	3_FZHB002_36000	3_TFHB001_23	0
#	1003	65	3_FZHB002_38000	3_TFHB001_23	0
#	1003	70	3_FZHB002_39000	3_TFHB001_23	0
#	1003	75	3_FZHB002_42000	3_TFHB001_23	0
#	1003	80	3_FZHB002_44000	3_TFHB001_23	0
#	1003	85	3_FZHB002_47000	3_TFHB001_23	0
#	1003	90	3_FZHB002_50000	3_TFHB001_23	0
#	1003	95	3_FZHB002_54000	3_TFHB001_23	0
#	1003	100	3_FZHB002_58000	3_TFHB001_23	0
#	1003	105	3_FZHB002_63000	3_TFHB001_23	0
#	1003	110	3_FZHB002_68000	3_TFHB001_23	0
#	1003	115	3_FZHB002_73000	3_TFHB001_23	0
#	1003	120	3_FZHB002_78000	3_TFHB001_23	0
#	1003	125	3_FZHB002_83000	3_TFHB001_23	0
#	1003	130	3_FZHB002_88000	3_TFHB001_23	0
#	1003	135	3_FZHB002_93000	3_TFHB001_23	0
#	1003	140	3_FZHB002_98000	3_TFHB001_23	0
#	1003	145	3_FZHB002_104000	3_TFHB001_23	0
#	1003	150	3_FZHB002_109000	3_TFHB001_23	0
#	1003	155	3_FZHB002_114000	3_TFHB001_23	0
#	1003	160	3_FZHB002_119000	3_TFHB001_23	0
#	1003	165	3_FZHB002_124000	3_TFHB001_23	0
#	1003	170	3_FZHB002_129000	3_TFHB001_23	0
#	1003	175	3_FZHB002_134000	3_TFHB001_23	0
#	1003	180	3_FZHB002_140000	3_TFHB001_23	0
#	1003	185	3_FZHB002_145000	3_TFHB001_23	0
#	1003	190	3_FZHB002_150000	3_TFHB001_23	0
#	1003	195	3_FZHB002_155000	3_TFHB001_23	0
#	1003	200	3_FZHB002_160000	3_TFHB001_23	0
#	1003	205	3_FZHB002_165000	3_TFHB001_23	0
#	1003	210	3_FZHB002_170000	3_TFHB001_23	0
#	1003	215	3_FZHB002_176000	3_TFHB001_23	0
#	1003	220	3_FZHB002_181000	3_TFHB001_23	0
#	1003	225	3_FZHB002_186000	3_TFHB001_23	0
#	1003	230	3_FZHB002_191000	3_TFHB001_23	0
#	1003	235	3_FZHB002_196000	3_TFHB001_23	0
#	1003	240	3_FZHB002_201000	3_TFHB001_23	0
#	1003	245	3_FZHB002_206000	3_TFHB001_23	0
#	1003	9999	3_FZHB002_212000	3_TFHB001_23	0
#	1004	40	3_FZHB002_28000	3_TFHB001_23	0
#	1004	45	3_FZHB002_30000	3_TFHB001_23	0
#	1004	50	3_FZHB002_32000	3_TFHB001_23	0
#	1004	55	3_FZHB002_34000	3_TFHB001_23	0
#	1004	60	3_FZHB002_36000	3_TFHB001_23	0
#	1004	65	3_FZHB002_38000	3_TFHB001_23	0
#	1004	70	3_FZHB002_40000	3_TFHB001_23	0
#	1004	75	3_FZHB002_43000	3_TFHB001_23	0
#	1004	80	3_FZHB002_45000	3_TFHB001_23	0
#	1004	85	3_FZHB002_48000	3_TFHB001_23	0
#	1004	90	3_FZHB002_51000	3_TFHB001_23	0
#	1004	95	3_FZHB002_55000	3_TFHB001_23	0
#	1004	100	3_FZHB002_59000	3_TFHB001_23	0
#	1004	105	3_FZHB002_64000	3_TFHB001_23	0
#	1004	110	3_FZHB002_69000	3_TFHB001_23	0
#	1004	115	3_FZHB002_74000	3_TFHB001_23	0
#	1004	120	3_FZHB002_79000	3_TFHB001_23	0
#	1004	125	3_FZHB002_85000	3_TFHB001_23	0
#	1004	130	3_FZHB002_90000	3_TFHB001_23	0
#	1004	135	3_FZHB002_95000	3_TFHB001_23	0
#	1004	140	3_FZHB002_100000	3_TFHB001_23	0
#	1004	145	3_FZHB002_106000	3_TFHB001_23	0
#	1004	150	3_FZHB002_111000	3_TFHB001_23	0
#	1004	155	3_FZHB002_116000	3_TFHB001_23	0
#	1004	160	3_FZHB002_121000	3_TFHB001_23	0
#	1004	165	3_FZHB002_126000	3_TFHB001_23	0
#	1004	170	3_FZHB002_132000	3_TFHB001_23	0
#	1004	175	3_FZHB002_137000	3_TFHB001_23	0
#	1004	180	3_FZHB002_142000	3_TFHB001_23	0
#	1004	185	3_FZHB002_147000	3_TFHB001_23	0
#	1004	190	3_FZHB002_153000	3_TFHB001_23	0
#	1004	195	3_FZHB002_158000	3_TFHB001_23	0
#	1004	200	3_FZHB002_163000	3_TFHB001_23	0
#	1004	205	3_FZHB002_168000	3_TFHB001_23	0
#	1004	210	3_FZHB002_174000	3_TFHB001_23	0
#	1004	215	3_FZHB002_179000	3_TFHB001_23	0
#	1004	220	3_FZHB002_184000	3_TFHB001_23	0
#	1004	225	3_FZHB002_189000	3_TFHB001_23	0
#	1004	230	3_FZHB002_195000	3_TFHB001_23	0
#	1004	235	3_FZHB002_200000	3_TFHB001_23	0
#	1004	240	3_FZHB002_205000	3_TFHB001_23	0
#	1004	245	3_FZHB002_210000	3_TFHB001_23	0
#	1004	9999	3_FZHB002_215000	3_TFHB001_23	0
#	1005	40	3_FZHB002_29000	3_TFHB001_27	0
#	1005	45	3_FZHB002_31000	3_TFHB001_27	0
#	1005	50	3_FZHB002_33000	3_TFHB001_27	0
#	1005	55	3_FZHB002_35000	3_TFHB001_27	0
#	1005	60	3_FZHB002_37000	3_TFHB001_27	0
#	1005	65	3_FZHB002_39000	3_TFHB001_27	0
#	1005	70	3_FZHB002_41000	3_TFHB001_27	0
#	1005	75	3_FZHB002_43000	3_TFHB001_27	0
#	1005	80	3_FZHB002_46000	3_TFHB001_27	0
#	1005	85	3_FZHB002_49000	3_TFHB001_27	0
#	1005	90	3_FZHB002_52000	3_TFHB001_27	0
#	1005	95	3_FZHB002_56000	3_TFHB001_27	0
#	1005	100	3_FZHB002_60000	3_TFHB001_27	0
#	1005	105	3_FZHB002_65000	3_TFHB001_27	0
#	1005	110	3_FZHB002_70000	3_TFHB001_27	0
#	1005	115	3_FZHB002_75000	3_TFHB001_27	0
#	1005	120	3_FZHB002_81000	3_TFHB001_27	0
#	1005	125	3_FZHB002_86000	3_TFHB001_27	0
#	1005	130	3_FZHB002_91000	3_TFHB001_27	0
#	1005	135	3_FZHB002_97000	3_TFHB001_27	0
#	1005	140	3_FZHB002_102000	3_TFHB001_27	0
#	1005	145	3_FZHB002_107000	3_TFHB001_27	0
#	1005	150	3_FZHB002_113000	3_TFHB001_27	0
#	1005	155	3_FZHB002_118000	3_TFHB001_27	0
#	1005	160	3_FZHB002_123000	3_TFHB001_27	0
#	1005	165	3_FZHB002_129000	3_TFHB001_27	0
#	1005	170	3_FZHB002_134000	3_TFHB001_27	0
#	1005	175	3_FZHB002_139000	3_TFHB001_27	0
#	1005	180	3_FZHB002_145000	3_TFHB001_27	0
#	1005	185	3_FZHB002_150000	3_TFHB001_27	0
#	1005	190	3_FZHB002_155000	3_TFHB001_27	0
#	1005	195	3_FZHB002_161000	3_TFHB001_27	0
#	1005	200	3_FZHB002_166000	3_TFHB001_27	0
#	1005	205	3_FZHB002_171000	3_TFHB001_27	0
#	1005	210	3_FZHB002_177000	3_TFHB001_27	0
#	1005	215	3_FZHB002_182000	3_TFHB001_27	0
#	1005	220	3_FZHB002_187000	3_TFHB001_27	0
#	1005	225	3_FZHB002_193000	3_TFHB001_27	0
#	1005	230	3_FZHB002_198000	3_TFHB001_27	0
#	1005	235	3_FZHB002_203000	3_TFHB001_27	0
#	1005	240	3_FZHB002_209000	3_TFHB001_27	0
#	1005	245	3_FZHB002_214000	3_TFHB001_27	0
#	1005	9999	3_FZHB002_219000	3_TFHB001_27	0
#	1006	40	3_FZHB002_29000	3_TFHB001_27	0
#	1006	45	3_FZHB002_31000	3_TFHB001_27	0
#	1006	50	3_FZHB002_34000	3_TFHB001_27	0
#	1006	55	3_FZHB002_36000	3_TFHB001_27	0
#	1006	60	3_FZHB002_38000	3_TFHB001_27	0
#	1006	65	3_FZHB002_40000	3_TFHB001_27	0
#	1006	70	3_FZHB002_42000	3_TFHB001_27	0
#	1006	75	3_FZHB002_44000	3_TFHB001_27	0
#	1006	80	3_FZHB002_47000	3_TFHB001_27	0
#	1006	85	3_FZHB002_50000	3_TFHB001_27	0
#	1006	90	3_FZHB002_53000	3_TFHB001_27	0
#	1006	95	3_FZHB002_57000	3_TFHB001_27	0
#	1006	100	3_FZHB002_61000	3_TFHB001_27	0
#	1006	105	3_FZHB002_66000	3_TFHB001_27	0
#	1006	110	3_FZHB002_71000	3_TFHB001_27	0
#	1006	115	3_FZHB002_77000	3_TFHB001_27	0
#	1006	120	3_FZHB002_82000	3_TFHB001_27	0
#	1006	125	3_FZHB002_88000	3_TFHB001_27	0
#	1006	130	3_FZHB002_93000	3_TFHB001_27	0
#	1006	135	3_FZHB002_99000	3_TFHB001_27	0
#	1006	140	3_FZHB002_104000	3_TFHB001_27	0
#	1006	145	3_FZHB002_109000	3_TFHB001_27	0
#	1006	150	3_FZHB002_115000	3_TFHB001_27	0
#	1006	155	3_FZHB002_120000	3_TFHB001_27	0
#	1006	160	3_FZHB002_126000	3_TFHB001_27	0
#	1006	165	3_FZHB002_131000	3_TFHB001_27	0
#	1006	170	3_FZHB002_137000	3_TFHB001_27	0
#	1006	175	3_FZHB002_142000	3_TFHB001_27	0
#	1006	180	3_FZHB002_147000	3_TFHB001_27	0
#	1006	185	3_FZHB002_153000	3_TFHB001_27	0
#	1006	190	3_FZHB002_158000	3_TFHB001_27	0
#	1006	195	3_FZHB002_164000	3_TFHB001_27	0
#	1006	200	3_FZHB002_169000	3_TFHB001_27	0
#	1006	205	3_FZHB002_175000	3_TFHB001_27	0
#	1006	210	3_FZHB002_180000	3_TFHB001_27	0
#	1006	215	3_FZHB002_185000	3_TFHB001_27	0
#	1006	220	3_FZHB002_191000	3_TFHB001_27	0
#	1006	225	3_FZHB002_196000	3_TFHB001_27	0
#	1006	230	3_FZHB002_202000	3_TFHB001_27	0
#	1006	235	3_FZHB002_207000	3_TFHB001_27	0
#	1006	240	3_FZHB002_213000	3_TFHB001_27	0
#	1006	245	3_FZHB002_218000	3_TFHB001_27	0
#	1006	9999	3_FZHB002_223000	3_TFHB001_27	0
#	1007	40	3_FZHB002_30000	3_TFHB001_31	0
#	1007	45	3_FZHB002_32000	3_TFHB001_31	0
#	1007	50	3_FZHB002_34000	3_TFHB001_31	0
#	1007	55	3_FZHB002_36000	3_TFHB001_31	0
#	1007	60	3_FZHB002_38000	3_TFHB001_31	0
#	1007	65	3_FZHB002_40000	3_TFHB001_31	0
#	1007	70	3_FZHB002_42000	3_TFHB001_31	0
#	1007	75	3_FZHB002_45000	3_TFHB001_31	0
#	1007	80	3_FZHB002_47000	3_TFHB001_31	0
#	1007	85	3_FZHB002_51000	3_TFHB001_31	0
#	1007	90	3_FZHB002_54000	3_TFHB001_31	0
#	1007	95	3_FZHB002_58000	3_TFHB001_31	0
#	1007	100	3_FZHB002_62000	3_TFHB001_31	0
#	1007	105	3_FZHB002_67000	3_TFHB001_31	0
#	1007	110	3_FZHB002_73000	3_TFHB001_31	0
#	1007	115	3_FZHB002_78000	3_TFHB001_31	0
#	1007	120	3_FZHB002_84000	3_TFHB001_31	0
#	1007	125	3_FZHB002_89000	3_TFHB001_31	0
#	1007	130	3_FZHB002_95000	3_TFHB001_31	0
#	1007	135	3_FZHB002_100000	3_TFHB001_31	0
#	1007	140	3_FZHB002_106000	3_TFHB001_31	0
#	1007	145	3_FZHB002_111000	3_TFHB001_31	0
#	1007	150	3_FZHB002_117000	3_TFHB001_31	0
#	1007	155	3_FZHB002_122000	3_TFHB001_31	0
#	1007	160	3_FZHB002_128000	3_TFHB001_31	0
#	1007	165	3_FZHB002_133000	3_TFHB001_31	0
#	1007	170	3_FZHB002_139000	3_TFHB001_31	0
#	1007	175	3_FZHB002_144000	3_TFHB001_31	0
#	1007	180	3_FZHB002_150000	3_TFHB001_31	0
#	1007	185	3_FZHB002_156000	3_TFHB001_31	0
#	1007	190	3_FZHB002_161000	3_TFHB001_31	0
#	1007	195	3_FZHB002_167000	3_TFHB001_31	0
#	1007	200	3_FZHB002_172000	3_TFHB001_31	0
#	1007	205	3_FZHB002_178000	3_TFHB001_31	0
#	1007	210	3_FZHB002_183000	3_TFHB001_31	0
#	1007	215	3_FZHB002_189000	3_TFHB001_31	0
#	1007	220	3_FZHB002_194000	3_TFHB001_31	0
#	1007	225	3_FZHB002_200000	3_TFHB001_31	0
#	1007	230	3_FZHB002_205000	3_TFHB001_31	0
#	1007	235	3_FZHB002_211000	3_TFHB001_31	0
#	1007	240	3_FZHB002_216000	3_TFHB001_31	0
#	1007	245	3_FZHB002_222000	3_TFHB001_31	0
#	1007	9999	3_FZHB002_227000	3_TFHB001_31	0
#	1008	40	3_FZHB002_30000	3_TFHB001_31	0
#	1008	45	3_FZHB002_33000	3_TFHB001_31	0
#	1008	50	3_FZHB002_35000	3_TFHB001_31	0
#	1008	55	3_FZHB002_37000	3_TFHB001_31	0
#	1008	60	3_FZHB002_39000	3_TFHB001_31	0
#	1008	65	3_FZHB002_41000	3_TFHB001_31	0
#	1008	70	3_FZHB002_43000	3_TFHB001_31	0
#	1008	75	3_FZHB002_46000	3_TFHB001_31	0
#	1008	80	3_FZHB002_48000	3_TFHB001_31	0
#	1008	85	3_FZHB002_52000	3_TFHB001_31	0
#	1008	90	3_FZHB002_55000	3_TFHB001_31	0
#	1008	95	3_FZHB002_59000	3_TFHB001_31	0
#	1008	100	3_FZHB002_63000	3_TFHB001_31	0
#	1008	105	3_FZHB002_69000	3_TFHB001_31	0
#	1008	110	3_FZHB002_74000	3_TFHB001_31	0
#	1008	115	3_FZHB002_80000	3_TFHB001_31	0
#	1008	120	3_FZHB002_85000	3_TFHB001_31	0
#	1008	125	3_FZHB002_91000	3_TFHB001_31	0
#	1008	130	3_FZHB002_96000	3_TFHB001_31	0
#	1008	135	3_FZHB002_102000	3_TFHB001_31	0
#	1008	140	3_FZHB002_108000	3_TFHB001_31	0
#	1008	145	3_FZHB002_113000	3_TFHB001_31	0
#	1008	150	3_FZHB002_119000	3_TFHB001_31	0
#	1008	155	3_FZHB002_125000	3_TFHB001_31	0
#	1008	160	3_FZHB002_130000	3_TFHB001_31	0
#	1008	165	3_FZHB002_136000	3_TFHB001_31	0
#	1008	170	3_FZHB002_141000	3_TFHB001_31	0
#	1008	175	3_FZHB002_147000	3_TFHB001_31	0
#	1008	180	3_FZHB002_153000	3_TFHB001_31	0
#	1008	185	3_FZHB002_158000	3_TFHB001_31	0
#	1008	190	3_FZHB002_164000	3_TFHB001_31	0
#	1008	195	3_FZHB002_169000	3_TFHB001_31	0
#	1008	200	3_FZHB002_175000	3_TFHB001_31	0
#	1008	205	3_FZHB002_181000	3_TFHB001_31	0
#	1008	210	3_FZHB002_186000	3_TFHB001_31	0
#	1008	215	3_FZHB002_192000	3_TFHB001_31	0
#	1008	220	3_FZHB002_198000	3_TFHB001_31	0
#	1008	225	3_FZHB002_203000	3_TFHB001_31	0
#	1008	230	3_FZHB002_209000	3_TFHB001_31	0
#	1008	235	3_FZHB002_214000	3_TFHB001_31	0
#	1008	240	3_FZHB002_220000	3_TFHB001_31	0
#	1008	245	3_FZHB002_226000	3_TFHB001_31	0
#	1008	9999	3_FZHB002_231000	3_TFHB001_31	0
#	1009	40	3_FZHB002_31000	3_TFHB001_35	0
#	1009	45	3_FZHB002_33000	3_TFHB001_35	0
#	1009	50	3_FZHB002_35000	3_TFHB001_35	0
#	1009	55	3_FZHB002_37000	3_TFHB001_35	0
#	1009	60	3_FZHB002_40000	3_TFHB001_35	0
#	1009	65	3_FZHB002_42000	3_TFHB001_35	0
#	1009	70	3_FZHB002_44000	3_TFHB001_35	0
#	1009	75	3_FZHB002_46000	3_TFHB001_35	0
#	1009	80	3_FZHB002_49000	3_TFHB001_35	0
#	1009	85	3_FZHB002_52000	3_TFHB001_35	0
#	1009	90	3_FZHB002_56000	3_TFHB001_35	0
#	1009	95	3_FZHB002_60000	3_TFHB001_35	0
#	1009	100	3_FZHB002_64000	3_TFHB001_35	0
#	1009	105	3_FZHB002_70000	3_TFHB001_35	0
#	1009	110	3_FZHB002_75000	3_TFHB001_35	0
#	1009	115	3_FZHB002_81000	3_TFHB001_35	0
#	1009	120	3_FZHB002_87000	3_TFHB001_35	0
#	1009	125	3_FZHB002_92000	3_TFHB001_35	0
#	1009	130	3_FZHB002_98000	3_TFHB001_35	0
#	1009	135	3_FZHB002_104000	3_TFHB001_35	0
#	1009	140	3_FZHB002_109000	3_TFHB001_35	0
#	1009	145	3_FZHB002_115000	3_TFHB001_35	0
#	1009	150	3_FZHB002_121000	3_TFHB001_35	0
#	1009	155	3_FZHB002_127000	3_TFHB001_35	0
#	1009	160	3_FZHB002_132000	3_TFHB001_35	0
#	1009	165	3_FZHB002_138000	3_TFHB001_35	0
#	1009	170	3_FZHB002_144000	3_TFHB001_35	0
#	1009	175	3_FZHB002_149000	3_TFHB001_35	0
#	1009	180	3_FZHB002_155000	3_TFHB001_35	0
#	1009	185	3_FZHB002_161000	3_TFHB001_35	0
#	1009	190	3_FZHB002_167000	3_TFHB001_35	0
#	1009	195	3_FZHB002_172000	3_TFHB001_35	0
#	1009	200	3_FZHB002_178000	3_TFHB001_35	0
#	1009	205	3_FZHB002_184000	3_TFHB001_35	0
#	1009	210	3_FZHB002_190000	3_TFHB001_35	0
#	1009	215	3_FZHB002_195000	3_TFHB001_35	0
#	1009	220	3_FZHB002_201000	3_TFHB001_35	0
#	1009	225	3_FZHB002_207000	3_TFHB001_35	0
#	1009	230	3_FZHB002_212000	3_TFHB001_35	0
#	1009	235	3_FZHB002_218000	3_TFHB001_35	0
#	1009	240	3_FZHB002_224000	3_TFHB001_35	0
#	1009	245	3_FZHB002_230000	3_TFHB001_35	0
#	1009	9999	3_FZHB002_235000	3_TFHB001_35	0
#	1010	40	3_FZHB002_52000	3_TFHB001_35	0
#	1010	45	3_FZHB002_56000	3_TFHB001_35	0
#	1010	50	3_FZHB002_59000	3_TFHB001_35	0
#	1010	55	3_FZHB002_63000	3_TFHB001_35	0
#	1010	60	3_FZHB002_66000	3_TFHB001_35	0
#	1010	65	3_FZHB002_70000	3_TFHB001_35	0
#	1010	70	3_FZHB002_74000	3_TFHB001_35	0
#	1010	75	3_FZHB002_78000	3_TFHB001_35	0
#	1010	80	3_FZHB002_82000	3_TFHB001_35	0
#	1010	85	3_FZHB002_88000	3_TFHB001_35	0
#	1010	90	3_FZHB002_94000	3_TFHB001_35	0
#	1010	95	3_FZHB002_101000	3_TFHB001_35	0
#	1010	100	3_FZHB002_108000	3_TFHB001_35	0
#	1010	105	3_FZHB002_117000	3_TFHB001_35	0
#	1010	110	3_FZHB002_126000	3_TFHB001_35	0
#	1010	115	3_FZHB002_136000	3_TFHB001_35	0
#	1010	120	3_FZHB002_145000	3_TFHB001_35	0
#	1010	125	3_FZHB002_155000	3_TFHB001_35	0
#	1010	130	3_FZHB002_165000	3_TFHB001_35	0
#	1010	135	3_FZHB002_174000	3_TFHB001_35	0
#	1010	140	3_FZHB002_184000	3_TFHB001_35	0
#	1010	145	3_FZHB002_193000	3_TFHB001_35	0
#	1010	150	3_FZHB002_203000	3_TFHB001_35	0
#	1010	155	3_FZHB002_213000	3_TFHB001_35	0
#	1010	160	3_FZHB002_222000	3_TFHB001_35	0
#	1010	165	3_FZHB002_232000	3_TFHB001_35	0
#	1010	170	3_FZHB002_241000	3_TFHB001_35	0
#	1010	175	3_FZHB002_251000	3_TFHB001_35	0
#	1010	180	3_FZHB002_261000	3_TFHB001_35	0
#	1010	185	3_FZHB002_270000	3_TFHB001_35	0
#	1010	190	3_FZHB002_280000	3_TFHB001_35	0
#	1010	195	3_FZHB002_289000	3_TFHB001_35	0
#	1010	200	3_FZHB002_299000	3_TFHB001_35	0
#	1010	205	3_FZHB002_309000	3_TFHB001_35	0
#	1010	210	3_FZHB002_318000	3_TFHB001_35	0
#	1010	215	3_FZHB002_328000	3_TFHB001_35	0
#	1010	220	3_FZHB002_337000	3_TFHB001_35	0
#	1010	225	3_FZHB002_347000	3_TFHB001_35	0
#	1010	230	3_FZHB002_357000	3_TFHB001_35	0
#	1010	235	3_FZHB002_366000	3_TFHB001_35	0
#	1010	240	3_FZHB002_376000	3_TFHB001_35	0
#	1010	245	3_FZHB002_385000	3_TFHB001_35	0
#	1010	9999	3_FZHB002_395000	3_TFHB001_35	0
#	2001	40	3_FZHB002_65100	3_TFBX001_1	0
#	2001	45	3_FZHB002_69600	3_TFBX001_1	0
#	2001	50	3_FZHB002_74100	3_TFBX001_1	0
#	2001	55	3_FZHB002_78600	3_TFBX001_1	0
#	2001	60	3_FZHB002_83100	3_TFBX001_1	0
#	2001	65	3_FZHB002_87600	3_TFBX001_1	0
#	2001	70	3_FZHB002_92100	3_TFBX001_1	0
#	2001	75	3_FZHB002_97500	3_TFBX001_1	0
#	2001	80	3_FZHB002_102900	3_TFBX001_1	0
#	2001	85	3_FZHB002_110100	3_TFBX001_1	0
#	2001	90	3_FZHB002_117300	3_TFBX001_1	0
#	2001	95	3_FZHB002_126300	3_TFBX001_1	0
#	2001	100	3_FZHB002_135300	3_TFBX001_1	0
#	2001	105	3_FZHB002_146550	3_TFBX001_1	0
#	2001	110	3_FZHB002_157800	3_TFBX001_1	0
#	2001	115	3_FZHB002_169800	3_TFBX001_1	0
#	2001	120	3_FZHB002_181800	3_TFBX001_1	0
#	2001	125	3_FZHB002_193800	3_TFBX001_1	0
#	2001	130	3_FZHB002_205800	3_TFBX001_1	0
#	2001	135	3_FZHB002_217800	3_TFBX001_1	0
#	2001	140	3_FZHB002_229800	3_TFBX001_1	0
#	2001	145	3_FZHB002_241800	3_TFBX001_1	0
#	2001	150	3_FZHB002_253800	3_TFBX001_1	0
#	2001	155	3_FZHB002_265800	3_TFBX001_1	0
#	2001	160	3_FZHB002_277800	3_TFBX001_1	0
#	2001	165	3_FZHB002_289800	3_TFBX001_1	0
#	2001	170	3_FZHB002_301800	3_TFBX001_1	0
#	2001	175	3_FZHB002_313800	3_TFBX001_1	0
#	2001	180	3_FZHB002_325800	3_TFBX001_1	0
#	2001	185	3_FZHB002_337800	3_TFBX001_1	0
